valuation per sqft	address	zone	sqft	valuation	link
167	203 ELM ST	MR4	10019	$1,675,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=260
167	246 BROADWAY	MR5	3485	$583,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=12251
168	8 GARDEN CT	MR4	2178	$365,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=613
168	282 BROADWAY	MR5	3485	$585,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1038
177	156 BROADWAY	MR5	5227	$924,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1433
177	342 BROADWAY	MR5	16117	$2,858,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=837
178	154 BROADWAY	MR5	5227	$928,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1434
178	84 BROADWAY	MR5	6534	$1,161,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1479
178	501 MEDFORD ST	MR4	4792	$854,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=518
179	174 BROADWAY	MR5	4792	$859,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1423
182	101-103 ALPINE ST	MR4	6970	$1,269,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=6496
183	16 BROADWAY	MR6	19166	$3,511,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1695
184	391 SOMERVILLE AVE	MR4	6098	$1,122,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=922
186	499 MEDFORD ST	MR4	5227	$974,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=517
188	171 BROADWAY	MR5	4792	$898,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1412
188	242 BROADWAY	MR5	7405	$1,389,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=12252
190	257 SCHOOL ST	MR5	4792	$909,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=10192
191	96 DOVER ST	MR4	13068	$2,490,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=194
191	98 BROADWAY	MR5	3485	$666,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1474
192	92 MARSHALL ST	MR4	5227	$1,003,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=10375
